AB1201000298|VF FASTENING SCREW M4X30|0.82
AB1201000297|BODY DRAIN PLUG|0.87
AB1201000300|FENDER ADAPTOR|2.81
AB1201000299|HOLE POSITION MARKER|1.11
AB1201000301|FASTENER PHILIPS ST6.3X25|0.87
AB1201000302|FASTENER SHCS M5X12|0.85
AB1201000303|FASTENER PHILIPS ST4.8X16|0.65
AB1201000304|FASTENER PHILIPS ST2.9X9.5 SS|0.53
AB1201000306|FASTENER PHILIPS ST4.2X16 SS|0.53
AB1201000305|FASTENER PHILIPS ST2.9X9.5|0.53
AB1201000308|ACCESSORY BOX TRAY|0.80
AB1201000310|EPE SUPPORT EU-UK-CH-NA|0.51
AB1201000312|HONEYCOMB PANEL|0.78
AB1201000313|ACCESSORY BOX|1.57
AB1201000314|BOTTOM TRAY|4.75
AB1201000315|FRONT TRAY|4.51
AB1201000316|CHARGING STATION TRAY ANZ-NA|0.70
AB1201000317|IMPORTANT INFORMATION MANUAL NA|3.05
AB1201000311|INNER SUPPORT TRAY FOR ACCESSORY BOX|0.78
AB1201000309|REAR SUPPORT|4.34
AB1201000320|LABEL PACKAGE NA|10.10
AB1202000102|AMBIENT LIGHT ASSEMBLY NA|66.56
AB1202000106|MOWING MODULE NA|172.66
AB1202000107|BATTERY PACK 2550MAH|200.54
AB1202000111|VISIONFENCE MODULE LIGHT GREY|135.11
AB1202000108|BATTERY PACK 5100MAH|262.38
AB1202000114|VISIONFENCE FRONT COVER DARK GREY|4.02
AB1202000115|GNSS ANTENNA MODULE|139.23
AB1202000120|CGS CABLE ASSEMBLY|27.27
AB1202000123|REAR DECORATION COVER|38.56
AB1202000124|TOP SHELL BODY|147.56
AB1202000125|HEIGHT ADJUSTMENT DRIVE GEAR|8.24
AB1202000127|HEIGHT ADJUSTMENT KNOB|3.66
AB1202000130|WHEEL COVER CIRCULAR PATTERN|10.66
AB1202000129|WHEEL COVER GEAR PATTERN|10.12
AB1202000128|TRACTION WHEEL|36.82
AB1202000134|GNSS STATION|169.10
AB1202000135|TOP DECORATION BUCKLE COVER LIGHT GREY|57.87
AB1202000137|TOP DECORATION COVER|77.46
AB1202000139|FRONT DECORATION COVER DARK GREY|18.68
AB1202000143|IOT CABLE|7.92
AB1202000144|GNSS ANTENNA TRANSMISSION CABLE|6.23
AB1202000146|BLADE DISC|14.56
AB1202000150|4G INTERFACE COVER|3.54
AB1202000149|IOT HARNESS BLOCK|2.37
AB1202000151|COUNTERWEIGHT|5.04
AB1202000159|MOWING MODULE CONNECTION HARNESS|4.46
AB1202000145|BLADE FENDER|13.08
AB1202000158|CHASSIS CHARGING CONTACT CONNECTION WIRE|2.91
AB1202000162|LIFTING SENSOR CABLE R|3.54
AB1202000161|LIFTING SENSOR CABLE L|3.27
AB1202000163|DISPLAY AND BUTTONS HARNESS|8.62
AB1202000164|DRIVE BOARD COMMUNICATION HARNESS|7.34
AB1202000166|HEXAGON SOCKET FLAT HEAD SCREW M4X12|0.34
AB1202000169|BATTERY COVER|10.85
AB1202000170|CHASSIS ASSEMBLY I105N|103.84
AB1202000171|TOP DECORATION BUCKLE COVER I110 DARK GREY|59.15
AB1202000172|FRONT COVER GARAGE S|124.95
AB1202000173|REAR WINDOW GARAGE S|227.06
AB1202000174|CGS MAIN BODY NA|206.11
AB1202000181|LOWER COVER GARAGE S|158.13
AB1202000182|SOCKET KEY HEXAGON 4MM|1.70
AB1202000184|DRIVE BOARD ASSEMBLY NA|193.12
AB1202000189|ACU BOARD ASSEMBLY NA|183.18
AB1202000186|CHARGING STATION BOARD ASSEMBLY NA|153.18
AB1202000194|CABLE GNSS ANTENNA|20.81
AB1202000206|CHASSIS ASSEMBLY I110N|103.84
AB1202000213|EPE KIT NA|1.11
AB1202000210|QUICK START GUIDE NA|3.02
AB1202000215|110N LABEL KIT NA|6.29
AB1202000214|105N LABEL KIT NA|6.38
AB1202000216|CLAPBOARD|0.78
AB1202000217|CHARGING STATION TRAY|1.31
AB1202000219|ACCESSORY BOX|1.71
AB1202000220|INNER SUPPORT TRAY FOR ACCESSORY BOX|0.87
AB1202000218|HAND REINFORCEMENT BOARD|0.78
AB1202000221|BOTTOM TRAY|3.73
AB1202000222|WATERPROOF COVER SUPPORT|0.58
AB1202000223|REAR SUPPORT|2.67
AB1202000224|FRONT SUPPORT|2.40
AB1203000001|BATTERY PACK 8AH|271.83
AB1203000003|HEADLIGHT MODULE|134.00
AB1203000004|ANTI-CLOG BLADE DISC|35.85
AB1203000005|COVER BATTERY|17.73
AB1203000006|REAR FENDER X315 LEFT|11.34
AB1203000007|REAR FENDER RIGHT|10.34
AB1203000017|BATTERY PACK 6AH|220.79
AB1203000016|TRANSCEIVER ANTENNA|12.57
AB1203000015|POWER CABLE GNSS ANTENNA|36.84
AB1203000019|CABLE SCREEN-HEADLIGHT|20.23
AB1203000018|CABLE BATTERY ADAPTER|18.53
AB1203000023|CAMERA MODULE RIGHT|147.00
AB1203000021|CABLE GNSS-PCB|13.49
AB1203000025|KEY-PCB|23.93
AB1203000024|CAMERA MODULE LEFT|142.72
AB1203000028|REAR FENDER X390 LEFT|11.34
AB1203000030|WATERPROOF CAP EXTENSION CABLE|2.81
AB1203000027|MAIN-PCB NA|513.19
AB1203000031|REAR COVER|47.62
AB1203000029|FOAM KEY-PCB|0.78
AB1203000032|REAR LOGO|3.39
AB1203000033|CAP TOW HOOK|2.13
AB1203000037|SENSOR CUTTING HEIGHT|24.15
AB1203000036|CABLE SENSOR-PCB LIFT DETECTION|3.39
AB1203000034|FASTENER M5X16|0.56
AB1203000038|TRANSITION-PCB|18.94
AB1203000040|MOTOR MOWING NA|182.03
AB1203000041|CAMERA MODULE FRONT|246.03
AB1203000043|SHIELDING COVER FRONT CAMERA|1.79
AB1203000042|SHIELDING COVER MAIN-PCB|8.67
AB1203000045|SHAFT PLATE HUB MOTOR|3.20
AB1203000046|DRIVE-PCB ASSEMBLY|245.45
AB1203000047|BRACKET ASSEMBLY DRIVE-PCB|59.47
AB1203000048|UNIVERSAL WHEEL MODULE|60.12
AB1203000049|MOTOR HEIGHT ADJUSTMENT|68.79
AB1203000052|COVER DRIVE WHEEL|11.75
AB1203000053|SENSOR-PCB BUMPER FRONT|12.96
AB1203000057|SUPPORT BRACKET GNSS-PCB|9.03
AB1203000054|CHARGING PORT ASSEMBLY|29.77
AB1203000058|GUIDE BRACKET MOWING MOTOR|4.46
AB1203000060|UPPER SHELL DECORATIVE|140.56
AB1203000062|BUTTON E-STOP ASSEMBLY|5.23
AB1203000064|BRACKET CHARGING CABLE|4.34
AB1203000065|SUPPORT BRACKET HUB MOTOR|9.03
AB1203000067|COVER MOWING MODULE NA|7.90
AB1203000068|COVER DUSTPROOF MOTOR|5.98
AB1203000069|CHASSIS ASSEMBLY|170.33
AB1203000070|CLAMP CUTTING HEIGHT SENSOR|1.40
AB1203000073|LOWER SHELL DISPLAY SCREEN|20.18
AB1203000061|UPPER SHELL ASSEMBLY|145.36
AB1203000071|HANDLE ASSEMBLY|235.07
AB1203000072|DOOR TRIMMER ACCESS|11.14
AB1203000075|LED DISPLAY SCREEN ASSEMBLY|251.74
AB1203000079|CGS-PCB ASSEMBLY|108.15
AB1203000076|FASTENER M6 FLANGE BOLT|0.78
AB1203000085|COVER BLADE DISC|28.78
AB1203000080|CHARGING SHAFT ASSEMBLY|17.68
AB1203000086|FRONT SHELL|20.83
AB1203000087|SHELL FRONT CAMERA|19.33
AB1203000089|BASE PLATE REAR CGS|185.37
AB1203000091|COVER CGS HANDLE LEFT|3.88
AB1203000088|BASE PLATE FRONT CGS|188.30
AB1203000092|COVER CGS HANDLE RIGHT|3.88
AB1203000097|REAR FENDER X330 LEFT|11.34
AB1203000095|CLAMP MOTOR WIRE|1.43
AB1203000100|DRIVE WHEEL MODULE|239.92
AB1203000098|REAR FENDER X350 LEFT|11.34
AB1203000101|DRIVE WHEEL|84.27
AB1203000102|DRIVE MODULE TRIMMER NA|222.63
AB1203000106|CLAMP WI-FI ANTENNA|1.40
AB1203000105|BUMPER ASSEMBLY|118.86
AB1203000107|TRIMMER CABLE DRIVE-PCB END|26.60
AB1203000109|FRAME BRACKET TRIMMER|8.48
AB1203000110|MOTOR ASSEMBLY TRIMMER|77.87
AB1203000111|GUARD COVER TRIMMER|8.82
AB1203000112|LINE CUTTER TRIMMER|3.42
AB1203000114|SHIELDING FOAM TRIMMER|3.46
AB1203000116|LOCKING NUT TRIMMER|5.23
AB1203000115|COVER ASSEMBLY TRIMMER|7.32
AB1203000117|ROLLER TRIMMER|1.09
AB1203000118|ROLLER FASTENER TRIMMER|0.58
AB1203000120|SUPPORT FOOT GARAGE L|42.40
AB1203000122|FRONT COVER GARAGE L NA|139.44
AB1203000123|ANTENNA SIGNAL ENHANCEMENT NA|177.51
AB1203000125|CGS MAIN BODY NA|196.22
AB1203000135|PRIMARY ANTENNA NA|177.51
AB50001670|HUB MOTOR CUSHION-PRESS BLOCK|12.28
AB50001669|CHASSIS ASSEMBLY|90.08
AB50001673|MOWING MODULE|214.67
AB50001674|HUB MOTOR ASSEMBLY H500-H800|237.14
AB50001675|HUB MOTOR ASSEMBLY H1500-H3000|246.27
AB50001677|CHASSIS SEAL STRIP|8.24
AB50001703|FENDER|18.80
AB50001729|CGS CHARGING SHAFT ASSEMBLY|16.52
AB50003899|BUMPER STRIP ASSEMBLY|179.85
AB50003911|CGS INDICATION LIGHT ASSEMBLY|23.08
AB1202000103|SPEAKER MODULE; LAWN MOWER I SERIES|11.44
AB1202000113|VISIONFENCE FRONT COVER LIGHT GREY; LAWN MOWER I SERIES|3.18
AB1201000218|POWER SUPPLY EXTENSION CABLE; LAWN MOWER H&I SERIES|41.16
AB1201000247|TUBE ASSEMBLY; LAWN MOWER H&I&X SERIES|32.84
AB1202000109|DISPLAY PCB BOARD; LAWN MOWER I SERIES|30.00
AB1202000122|CHARGING STATION UPPER COVER; LAWN MOWER I SERIES|13.09
AB1202000121|CGS CHARGING TONGUE ASSEMBLY; LAWN MOWER I SERIES|12.62
AB1202000118|SENSOR-PCB LIFT DETECTION; LAWN MOWER I&X SERIES|9.24
AB1202000116|TRACTION MOTOR MODULE; LAWN MOWER I SERIES|149.96
AB1202000126|STOP BUTTON ASSEMBLY; LAWN MOWER I SERIES|3.98
AB1202000133|CGS CABLE PROTECTION PLUG; LAWN MOWER I SERIES|1.56
AB1202000131|CHARGING STATION BASE PLATE; LAWN MOWER I SERIES|91.36
AB1202000140|REFLECTIVE STRIP L-SHAPED; LAWN MOWER I&X SERIES|2.31
AB1202000138|FRONT DECORATION COVER LIGHT GREY; LAWN MOWER I SERIES|14.78
AB1202000147|COOLING SILICONE PAD; LAWN MOWER I SERIES|5.13
AB1202000152|TRACTION WHEEL FLAT PAD; LAWN MOWER I SERIES|2.87
AB1202000153|FASTENER SELF TAPPING K50H16; LAWN MOWER I&X SERIES|0.38
AB1202000154|FASTENER SELF TAPPING K40H16; LAWN MOWER I&X SERIES|0.31
AB1202000155|FASTENER SHCS M3X8; LAWN MOWER I&X SERIES|0.29
AB1202000156|TWIST BUCKLE; LAWN MOWER I&X SERIES|0.42
AB1202000157|TAPE VELCRO; LAWN MOWER H&I&X SERIES|4.38
AB1202000160|AMBIENT LIGHT CABLE; LAWN MOWER I SERIES|7.60
AB1202000165|FASTENER SELF TAPPING ST2.9X9.5; LAWN MOWER I&X SERIES|0.27
AB1202000167|HEX SCREW WITH WASHER M5X16; LAWN MOWER I SERIES|2.00
AB1202000168|FASTENER TORX ST2X6|1.96
AB1202000175|INDICATION LABEL WATER INGRESS; LAWN MOWER H&I&X SERIES|0.20
AB1202000176|FASTENER PHILIPS ST4.2X13; LAWN MOWER H&I&X SERIES|0.31
AB1202000178|FASTENER SHCS M4X12; LAWN MOWER H&I&X SERIES|0.38
AB1202000177|LABEL TAMPER-PROOF; LAWN MOWER H&I&X SERIES|0.38
AB1202000179|GROUND NAIL CHARGING STATION; LAWN MOWER H&I&X SERIES|1.29
AB1202000183|SOCKET KEY HEXAGON 6MM; LAWN MOWER H&I&X SERIES|2.09
AB1202000191|FILM WATERPROOF BREATHABLE; LAWN MOWER I SERIES|2.73
AB1202000226|DOOR FRAME COVER|263.13
AB1202000225|DOOR FRAME|263.13
AB1202000227|LEFT DOOR ASSEMBLY|155.38
AB1202000228|RIGHT DOOR ASSEMBLY|154.96
AB1202000229|ALIGNMENT BRACKET KIT DOOR-SIDE|7.16
AB1202000230|ALIGNMENT BRACKET KIT FRAME-SIDE|26.22
AB1202000231|WATERPROOF ENCLOSURE BASE HOUSING|15.33
AB1202000232|MAIN CONTROL BOARD|75.56
AB1202000233|INDICATOR LED BOARD ASSEMBLY|16.42
AB1202000234|BATTERY HOLDER ASSEMBLY|16.80
AB1202000235|WATERPROOF ENCLOSURE TOP COVER|18.73
AB1202000236|ELECTRONIC LOCK ASSEMBLY|46.62
AB1202000237|LOCKING CLAMP STRIP|6.67
AB1202000238|SIDE LOCKING STRIP|24.31
AB1202000239|TOP LOCKING STRIP|33.29
AB1202000240|TRIANGULAR BRACKET|11.49
AB1202000241|CARRIAGE BOLT M5X50 AND NUT M5 KIT|0.96
AB1202000242|FASTENER SHCS M5X8|0.27
AB1202000243|FASTENER TORX PAN M4X10|0.24
AB1202000244|FASTENER SELF-TAPPING K40H10|0.24
AB1202000245|FASTENER PHILLIPS ST3X6|0.16
AB1202000247|ELECTRONIC LOCK MOUNTING KIT|1.96
AB1202000248|MOWER-SIDE MAGNET BRACKET ASSEMBLY|13.29
AB1202000249|LABELED PACKAGING KIT I1A11N|88.69
AB1203000002|BATTERY PACK 10AH; LAWN MOWER X SERIES|394.53
AB1203000008|EXTENSION CABLE POWER ADAPTOR; LAWN MOWER X SERIES|92.53
AB1203000011|POWER ADAPTOR NA; LAWN MOWER X SERIES|224.76
AB1203000014|POLE GNSS ANTENNA; LAWN MOWER X SERIES|10.16
AB1203000022|SENSOR-PCB BUMPER L-R; LAWN MOWER X SERIES|13.62
AB1203000044|SHIELDING COVER GNSS-PCB; LAWN MOWER X SERIES|7.47
AB1203000055|SPEAKER MODULE; LAWN MOWER X SERIES|12.42
AB1203000056|WORM GEAR HEIGHT ADJUSTMENT; LAWN MOWER X SERIES|15.40
AB1203000059|ANTENNA GNSS-PCB; LAWN MOWER X SERIES|160.38
AB1203000063|FILM WATERPROOF BREATHABLE; LAWN MOWER X SERIES|3.56
AB1203000082|PAD CABLE PROTECTION; LAWN MOWER X SERIES|1.96
AB1203000081|DECORATIVE COVER CGS; LAWN MOWER X SERIES|23.09
AB1203000126|BATTERY PACK 12.8AH; LAWN MOWER X SERIES|489.11
AB1203000124|CABLE PEG; LAWN MOWER H&I&X SERIES|0.71
AB1203000078|HANDLE ASSEMBLY CGS; LAWN MOWER X SERIES|12.76
AB1204000001|FRONT DECORATION COVER|43.58
AB1203000136|SEALING SCREW M5X10; LAWN MOWER X SERIES|1.73
AB1204000002|TOP DECORATION COVER I215; LAWN MOWER I2 SERIES|133.87
AB1204000003|CYLINDER DECORATIVE RING I2|11.84
AB1204000004|REAR DECORATION COVER|25.27
AB1204000005|FRONT LIGHT|19.20
AB1204000006|SENSOR MODULE BRACKET I2|32.22
AB1204000008|MOWING MODULE HOUSING I2|21.78
AB1204000007|CONTROL PANEL ASSEMBLY I2|149.49
AB1204000009|DRIVE PCB STANDARD|305.33
AB1204000010|FRONT HANDLE|9.73
AB1204000011|BUMPER CABLE HOLE PLUG|2.07
AB1204000013|TOP DECORATION BUCKLE COVER|87.16
AB1204000012|BLADE DISC I2|57.76
AB1204000016|LABELED PACKAGING KIT I215N; LAWN MOWER I2 SERIES|77.40
AB1204000039|MAIN-PCB ASSEMBLY-I2 LIDAR|543.58
AB1205000003|POWER ADAPTOR NA 4.0A; LAWN MOWER H2 SERIES|150.20
AB1205000004|HANDLE ASSEMBLY H2; LAWN MOWER H2 SERIES|187.76
AB1205000005|HANDLE LOGO BADGET H2; LAWN MOWER H2 SERIES|3.38
AB1205000006|AMBIENT LIGHT H2-I2; LAWN MOWER H2&I2 SERIES|46.36
AB1205000007|AMBIENT LIGHT CYLINDER BASE; LAWN MOWER H2 SERIES|154.18
AB1205000008|CYLINDER DECORATIVE RING; LAWN MOWER H2 SERIES|27.09
AB1205000009|CYLINDER ANTI-WEAR BLOCK; LAWN MOWER H2 SERIES|5.89
AB1205000010|REAR FENDER; LAWN MOWER H2 SERIES|22.16
AB1205000011|CONTROL PANEL ASSEMBLY H2; LAWN MOWER H2 SERIES|149.00
AB1205000012|AMBIENT LIGHT TRANSFER CABLE; LAWN MOWER H2&I2 SERIES|12.18
AB1205000013|RAIN SENSOR; LAWN MOWER H2 SERIES|17.98
AB1205000014|SENSOR MODULE BRACKET H2|29.87
AB1205000016|TRACTION MOTOR HIGH SPEED|184.11
AB1205000017|BUMPER MODULE CABLE|15.76
AB1205000018|BUMPER HARNESS CLIP H2|2.04
AB1205000019|BUMPER MODULE H2|106.18
AB1205000020|MOWING MODULE HOUSING H2|22.07
AB1205000023|FRONT LIGHT ASSEMBLY|22.47
AB1205000028|LABELED PACKAGING KIT H210N; LAWN MOWER H2 SERIES|77.67
AB1205000029|LABELED PACKAGING KIT H220N; LAWN MOWER H2 SERIES|77.67
AB1205000030|ADAPTOR EXTENSION CABLE 2.5A-7M LENGTH|45.09
AB1205000032|FRONT LIGHT TRANSFER CABLE; LAWN MOWER H2&I2 SERIES|8.56
AB1205000031|STOP BUTTON BASE; LAWN MOWER H2&I2 SERIES|3.13
AB1205000033|LIDAR THERMAL PAD; LAWN MOWER H2&I2 SERIES|1.60
AB1205000034|MONOCULAR CAMERA MODULE|178.76
AB1205000035|LIDAR MODULE|575.09
AB1205000037|GNSS-ACU CABLE|10.71
AB1205000036|LIDAR DECORATIVE COVER|2.20
AB1205000038|UPPER SHELL ASSEMBLY|101.00
AB1205000039|UPPER SHELL SEALING RING|2.07
AB1205000040|SPEAKER FOAM|2.13
AB1205000041|BATTERY TRANSFER CABLE H; LAWN MOWER H2&I2 SERIES|21.60
AB1205000042|BATTERY PACK 7.5AH|311.98
AB1205000043|BATTERY PACK 5.1AH|231.09
AB1205000044|BATTERY PACK 2.55AH|184.87
AB1205000045|TRACTION MOTOR LOW SPEED|184.24
AB1205000046|LIFT SENSOR CABLE|8.00
AB1205000047|ACU-DRIVE COMM CABLE|11.82
AB1205000048|SPEAKER MODULE BRACKET|3.27
AB1205000049|FIND MY BATTERY|19.91
AB1205000051|UNIVERSAL WHEEL MODULE|54.24
AB1205000052|CUTTING HEIGHT SENSOR|27.04
AB1205000055|MOWING MOTOR NA|177.16
AB1205000053|HEIGHT ADJUSTMENT MOTOR|62.29
AB1205000056|HEIGHT SENSOR PRESS PLATE|2.07
AB1205000058|MOWING MODULE COVER NA|7.20
AB1205000059|MOWING MOTOR GUIDE BRACKET|4.31
AB1205000061|CHARGING PORT|50.84
AB1205000062|CHARGING PORT CUSHION PAD|2.29
AB1205000063|ACU BOARD SHIELDING COVER|6.22
AB1205000065|MAIN-PCB ASSEMBLY-H2|545.78
AB1205000066|BATTERY COVER|12.22
AB1205000067|DRIVE PCB BRACKET|13.31
AB1205000068|BATTERY PAD|8.36
AB1205000069|WI-FI ANTENNA CLAMP|2.04
AB1205000070|LIFT SENSOR PRESS PLATE|1.91
AB1205000071|WHEEL COVER|9.27
AB1205000072|OFF-ROAD WHEEL|41.53
AB1205000074|LOWER CHASSIS|104.51
AB1205000073|TRANSFER CABLE PRESS PLATE|2.18
AB1205000075|MOWING MODULE SEALING RING|3.07
AB1205000078|IOT CABLE|7.76
AB1205000077|IOT MODULE NA|116.71
AB1205000079|BLADE DISC H2|80.87
AB1205000080|BLADE FENDER|15.80
AB1205000081|MAIN HOUSING SEALING RING|6.56
AB1205000087|CHARGING SHAFT ASSEMBLY|16.51
AB1205000088|CGS-PCB ASSEMBLY|90.40
AB1205000089|BRIDGE WIRE CLAMP|1.84
AB1205000090|CGS BODY RELEASE BUTTON|3.51
AB1205000091|CGS REAR HOUSING|17.60
AB1205000093|CGS DECORATIVE COVER|15.11
AB1205000092|CGS FRONT HOUSING|21.24
AB1205000094|CGS PORT COVER|6.02
AB1205000095|CABLE PROTECTION PAD|2.18
AB1205000096|CGS BASE PLATE|71.00
AB1205000098|FRAME OIL SEAL|2.69
AB1205000099|ACU BOARD SEALING RING|2.91
AB1250001703|FENDER|20.49
AB1205000101|CHARGING SHAFT PRESS PLATE|2.58
AB1205000103|POWER ADAPTOR NA 2.5A; LAWN MOWER I2 SERIES|102.62
AB1205000104|BUZZER; LAWN MOWER H2&I2 SERIES|8.82
AB1205000105|TOP DECORATION COVER H220; LAWN MOWER H2 SERIES|35.11
AB1205000108|TOP DECORATION COVER H210; LAWN MOWER H2 SERIES|35.11
AB1205000113|BATTERY TRANSFER CABLE L; LAWN MOWER H2&I2 SERIES|20.18
AB1205000126|CGS MAIN BODY; LAWN MOWER H2&I2 SERIES|154.38
AB1205000127|CGS PCB COVER; LAWN MOWER H2&I2 SERIES|9.20
AB1205000128|CGS LIGHT GUIDE ROD SEAL; LAWN MOWER H2&I2 SERIES|2.53
AB1205000129|SHOCK ABSORBING FOAM; LAWN MOWER H2&I2 SERIES|1.93
AB1205000130|LOGO PLATE; LAWN MOWER H2 SERIES|5.89
AB1205000131|STOP BUTTON ASSEMBLY|5.78
AB1205000132|CHASSIS COUNTERWEIGHT BLOCK|4.87
AB1205000133|PLASTIC CLIP|1.49
AB1205000134|ADAPTOR EXTENSION CABLE 4.0A-10M LENGTH|69.31
AB1205000135|BATTERY PACK 5.1AH-U4|231.09
AB1205000136|BLADE DISC LOWERING ASSEMBLY|15.69
AB1205000137|SELF-TAPPING SCREW WITH INTEGRATED WASHERST2.9X9.5|2.13
AB1206000001|LEFT WING DECORATIVE COVER|36.22
AB1206000002|RIGHT WING DECORATIVE COVER|36.22
AB1206000003|LEFT VENT DECORATIVE COVER|6.36
AB1206000004|RIGHT VENT DECORATIVE COVER|6.36
AB1206000005|UPPER EXTERIOR DECORATIVE COVER|200.96
AB1206000006|NAVIMOW LOGO|12.96
AB1206000007|DECORATIVE COVER THERMAL PAD|7.73
AB1206000009|CHARGING PORT DECORATIVE COVER|6.49
AB1206000010|REAR DECORATIVE COVER ASSEMBLY - X430|84.60
AB1206000011|REAR SHELL COVER|7.36
AB1206000012|KEYPAD PCBA|264.62
AB1206000013|RAIN SENSOR|20.31
AB1206000014|DISPLAY SCREEN|264.62
AB1206000016|UPPER HOUSING AMBIENT LIGHT|6.91
AB1206000015|BUTTON|15.33
AB1206000017|STOP BUTTON ASSEMBLY|12.82
AB1206000018|UPPER HOUSING WIRE HARNESS BRACKET|16.18
AB1206000020|BUTTON COMMUNICATION HARNESS|14.11
AB1206000021|HOST COMPUTER COMMUNICATION HARNESS|16.27
AB1206000024|DISPLAT SCREEN FPC WIRE CLAMP PLATE|6.64
AB1206000025|SHIELDING COVER UPPER HOUSING MAIN CONTROL BOARD|9.07
AB1206000029|FAN ASSEMBLY KIT|53.71
AB1206000030|UPPER HOSUING FRONT LIGHT|40.96
AB1206000032|CAMERA UPPER HOUSING|15.40
AB1206000033|CAMERA UPPER HOUSING DECORATIVE COVER|13.44
AB1206000034|CAMERA BOTTOM HOUSING|26.53
AB1206000035|CAMERA BACK HOUSING|8.29
AB1206000036|DUST FILTER|5.09
AB1206000037|GNSS HARNESS|16.98
AB1206000038|CAMERA FPC WIRE CLAMP PLATE|6.98
AB1206000039|UPPER HOUSING|262.82
AB1206000040|UPPER HOUSING REAR COVER|16.31
AB1206000041|UPPER HOUSING HANDLE|65.84
AB1206000042|GNSS WATERPROOF COVER|5.96
AB1206000043|AMBIENT LIGHTING O-RING|3.40
AB1206000044|RTK O-RING|4.84
AB1206000045|DISPLAY SCREEN O-RING|3.22
AB1206000046|TOF O-RING|3.53
AB1206000047|UPPER HOUSING MAIN CONTROL BOARD O-RING|4.93
AB1206000048|GNSS-PCB|253.07
AB1206000050|REAR WHEEL|69.07
AB1206000051|WHEEL SPACER|7.11
AB1206000053|MOUNTING BRACKET SCREW BUSH|5.11
AB1206000055|REAR WHEEL DECORATIVE COVER|12.87
AB1206000057|REAR AXLE DUST COVER|4.42
AB1206000056|REAR AXLE CABLE CLAMP|4.36
AB1206000058|REAR AXLE SPRING|4.84
AB1206000059|FRONT AXLE MOUNTING BRACKET|70.64
AB1206000060|LEFT STEERING MOTOR|417.67
AB1206000061|LEFT WHEEL MOTOR|305.87
AB1206000062|MOTOR MOUNTING FLANGE|7.13
AB1206000063|MAGNET MOUNTING BRACKET|7.49
AB1206000064|MOTOR ANTI-VIBRATION PAD VERICAL|4.62
AB1206000065|MOTOR ANTI-VIBRATION PAD LATERAL|4.64
AB1206000066|FRONT WHEEL|55.80
AB1206000067|FRONT WHEEL DECORATIVE COVER|11.73
AB1206000068|RIGHT STEERING MOTOR|417.67
AB1206000069|RIGHT FRONT MOTOR|305.87
AB1206000070|FRONT AXLE SPRING|4.56
AB1206000071|FRONT AXLE PULL-BACK CONTROL ARM|16.24
